"PROCEDIMENTO","RN (alteração)","VIGÊNCIA","OD","AMB","HCO","HSO","REF","PAC","DUT","SUBGRUPO","GRUPO","CAPÍTULO"
"PÓLIPO RETAL - RESSECÇÃO","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","ÂNUS","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"PROLAPSO RETAL - ESCLEROSE","","","","Ambulatorial","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","ÂNUS","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"PROLAPSO RETAL - TRATAMENTO CIRÚRGICO","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","ÂNUS","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"PRURIDO ANAL - TRATAMENTO CIRÚRGICO","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","ÂNUS","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"RECONSTITUIÇÃO DE ESFINCTER ANAL POR PLÁSTICA MUSCULAR","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","ÂNUS","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"RECONSTRUÇÃO TOTAL ANOPERINEAL","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","ÂNUS","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"TRATAMENTO CIRÚRGICO DE RETOCELE","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","ÂNUS","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"TROMBOSE HEMORROIDÁRIA - EXÉRESE","","","","Ambulatorial","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","ÂNUS","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"ABSCESSO HEPÁTICO - DRENAGEM CIRÚRGICA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"ABSCESSO HEPÁTICO - DRENAGEM CIRÚRGICA POR VIDEOLAPAROSCOPIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"ANASTOMOSE BILIODIGESTIVA INTRA-HEPÁTICA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"ATRESIA DE VIAS BILIARES - TRATAMENTO CIRÚRGICO","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"BIÓPSIA HEPÁTICA POR LAPAROTOMIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"BIÓPSIA HEPÁTICA POR VIDEOLAPAROSCOPIA","","","","Ambulatorial","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"BIÓPSIA HEPÁTICA TRANSPARIETAL","","","","Ambulatorial","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"COLECISTECTOMIA COM FÍSTULA BILIODIGESTIVA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"COLECISTECTOMIA COM FÍSTULA BILIODIGESTIVA POR VIDEOLAPAROSCOPIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"COLECISTECTOMIA COM OU SEM COLANGIOGRAFIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"COLECISTECTOMIA COM OU SEM COLANGIOGRAFIA POR VIDEOLAPAROSCOPIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"COLECISTOJEJUNOSTOMIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"COLECISTOJEJUNOSTOMIA POR VIDEOLAPAROSCOPIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"COLECISTOSTOMIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"COLECISTOSTOMIA POR VIDEOLAPAROSCOPIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"COLÉDOCO OU HEPÁTICO-JEJUNOSTOMIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"COLÉDOCO OU HEPÁTICO-JEJUNOSTOMIA POR VIDEOLAPAROSCOPIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"COLÉDOCO OU HEPATICOPLASTIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"COLÉDOCO-DUODENOSTOMIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"COLÉDOCO-DUODENOSTOMIA POR VIDEOLAPAROSCOPIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"COLEDOCOTOMIA OU COLEDOCOSTOMIA COM OU SEM COLECISTECTOMIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"COLEDOCOTOMIA OU COLEDOCOSTOMIA COM OU SEM COLECISTECTOMIA POR VIDEOLAPAROSCOPIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"COLEDOSCOPIA INTRA-OPERATÓRIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"DERIVAÇÃO PORTO SISTÊMICA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"DESCONEXÃO ÁZIGOS - PORTAL COM OU SEM ESPLENECTOMIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"DESCONEXÃO ÁZIGOS - PORTAL COM OU SEM ESPLENECTOMIA POR VIDEOLAPAROSCOPIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"DESVASCULARIZAÇÃO HEPÁTICA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"DRENAGEM BILIAR TRANS-HEPÁTICA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"ENUCLEAÇÃO DE METÁSTASES HEPÁTICAS","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"ENUCLEAÇÃO DE METÁSTASES HEPÁTICAS POR VIDEOLAPAROSCOPIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"ESCLEROSE PERCUTÂNEA DIRIGIDA OU NÃO DE TUMOR HEPÁTICO (ALCOOLIZAÇÃO)","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"HEPATORRAFIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"HEPATORRAFIA COMPLEXA C/LESÃO DE ESTRUTURAS VASCULARES BILIARES","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"LOBECTOMIA HEPÁTICA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"PAPILOTOMIA TRANSDUODENAL","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"PUNÇÃO HEPÁTICA PARA DRENAGEM DE ABSCESSOS","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"PUNÇÃO HEPÁTICA PARA DRENAGEM DE ABSCESSOS POR VIDEOLAPAROSCOPIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"CISTO DE COLÉDOCO - TRATAMENTO CIRÚRGICO","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"ABLAÇÃO POR RADIOFREQUÊNCIA/CRIOABLAÇÃO PERCUTÂNEA DO CÂNCER PRIMÁRIO HEPÁTICO GUIADAPOR ULTRASSONOGRAFIA E/OU TOMOGRAFIA COMPUTADORIZADA (COM DIRETRIZ DE UTILIZAÇÃO)","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","1","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"ABLAÇÃO POR RADIOFREQUÊNCIA/CRIOABLAÇÃO DO CÂNCER PRIMÁRIO HEPÁTICO POR LAPAROTOMIA(COM DIRETRIZ DE UTILIZAÇÃO)","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","1","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"ABLAÇÃO POR RADIOFREQUÊNCIA/CRIOABLAÇÃO DO CÂNCER PRIMÁRIO HEPÁTICO PORVIDEOLAPAROSCOPIA (COM DIRETRIZ DE UTILIZAÇÃO)","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","1","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"ABLAÇÃO PERCUTÂNEA POR RADIOFREQUÊNCIA OU MICROONDAS DE METÁSTASES HEPÁTICAS DE CÂNCERCOLORRETAL GUIADA POR ULTRASSONOGRAFIA E/OU TOMOGRAFIA COMPUTADORIZADA (COM DIRETRIZ DEUTILIZAÇÃO)","604/2023610/2024","07/05/202401/08/2024","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","164","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"ABLAÇÃO PERCUTÂNEA POR RADIOFREQUÊNCIA OU MICROONDAS DE METÁSTASES HEPÁTICAS DE CÂNCERCOLORRETAL POR LAPAROTOMIA (COM DIRETRIZ DE UTILIZAÇÃO)","604/2023610/2024","07/05/202401/08/2024","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","164","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"ABLAÇÃO PERCUTÂNEA POR RADIOFREQUÊNCIA OU MICROONDAS DE METÁSTASES HEPÁTICAS DE CÂNCERCOLORRETAL POR VIDEOLAPAROSCOPIA (COM DIRETRIZ DE UTILIZAÇÃO)","604/2023610/2024","07/05/202401/08/2024","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","164","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"RESSECÇÃO DE CISTO HEPÁTICO COM OU SEM HEPATECTOMIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"RESSECÇÃO DE CISTO HEPÁTICO COM OU SEM HEPATECTOMIA POR VIDEOLAPAROSCOPIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"RESSECÇÃO DE TUMOR DE VESÍCULA OU DA VIA BILIAR COM OU SEM HEPATECTOMIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"SEGMENTECTOMIA HEPÁTICA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"SEQUESTRECTOMIA HEPÁTICA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"TRATAMENTO CIRÚRGICO DE ESTENOSE CICATRICIAL DAS VIAS BILIARES","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"TRISSEGMENTECTOMIAS","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","FÍGADO E VIAS BILIARES","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"BIÓPSIA DE PÂNCREAS","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","PÂNCREAS","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"BIÓPSIA DE PÂNCREAS POR PUNÇÃO DIRIGIDA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","PÂNCREAS","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"ENUCLEAÇÃO DE TUMORES PANCREÁTICOS","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","PÂNCREAS","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"ENUCLEAÇÃO DE TUMORES PANCREÁTICOS POR VIDEOLAPAROSCOPIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","PÂNCREAS","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"PANCREATECTOMIA PARCIAL OU TOTAL / SEQUESTRECTOMIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","PÂNCREAS","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"PANCREATECTOMIA CORPO CAUDAL COM PRESERVAÇÃO DO BAÇO","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","PÂNCREAS","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"PANCREATO-DUODENECTOMIA COM LINFADENECTOMIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","PÂNCREAS","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"PANCREATO-ENTEROSTOMIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","PÂNCREAS","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"PANCREATORRAFIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","PÂNCREAS","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"PSEUDOCISTO PÂNCREAS - DRENAGEM","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","PÂNCREAS","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"PSEUDOCISTO PÂNCREAS - DRENAGEM POR VIDEOLAPAROSCOPIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","PÂNCREAS","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"BIÓPSIA ESPLÊNICA","","","","Ambulatorial","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","BAÇO","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"ESPLENECTOMIA TOTAL OU PARCIAL","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","BAÇO","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"ESPLENECTOMIA POR VIDEOLAPAROSCOPIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","BAÇO","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"ESPLENORRAFIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","BAÇO","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"DIÁLISE PERITONEAL","","","","Ambulatorial","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","Paciente","","PERITÔNIO","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"DIÁLISE PERITONEAL AMBULATORIAL CONTÍNUA (CAPD)","","","","Ambulatorial","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","Paciente","","PERITÔNIO","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"DIÁLISE PERITONEAL AMBULATORIAL CONTÍNUA (CAPD) - TREINAMENTO","","","","Ambulatorial","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","Paciente","","PERITÔNIO","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"DIÁLISE PERITONEAL AUTOMÁTICA (DPA)","600/2024","01/04/2024","","Ambulatorial","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","Paciente","","PERITÔNIO","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"EPIPLOPLASTIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","PERITÔNIO","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"IMPLANTE OU RETIRADA DE CATETER PERITONEAL (TENCKHOFF OU OUTROS)","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","Paciente","","PERITÔNIO","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"OMENTECTOMIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","PERITÔNIO","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"OMENTECTOMIA LAPAROSCÓPICA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","PERITÔNIO","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"BIÓPSIA DE PAREDE ABDOMINAL","","","","Ambulatorial","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","ABDOME, PAREDE E CAVIDADE","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"CISTO SACRO-COCCÍGEO - TRATAMENTO CIRÚRGICO","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","ABDOME, PAREDE E CAVIDADE","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"DIÁSTASE DOS RETOS-ABDOMINAIS - TRATAMENTO CIRÚRGICO","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","ABDOME, PAREDE E CAVIDADE","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"HÉRNIA - TRATAMENTO CIRÚRGICO","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","ABDOME, PAREDE E CAVIDADE","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"HERNIORRAFIA COM OU SEM RESSECÇÃO INTESTINAL","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","ABDOME, PAREDE E CAVIDADE","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"HERNIORRAFIA COM OU SEM RESSECÇÃO INTESTINAL POR VIDEOLAPAROSCOPIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","ABDOME, PAREDE E CAVIDADE","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"HERNIORRAFIA CRURAL","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","ABDOME, PAREDE E CAVIDADE","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"HERNIORRAFIA CRURAL POR VIDEOLAPAROSCOPIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","ABDOME, PAREDE E CAVIDADE","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"HERNIORRAFIA EPIGÁSTRICA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","ABDOME, PAREDE E CAVIDADE","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"HERNIORRAFIA INCISIONAL","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","ABDOME, PAREDE E CAVIDADE","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"HERNIORRAFIA INGUINAL","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","ABDOME, PAREDE E CAVIDADE","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"HERNIORRAFIA INGUINAL POR VIDEOLAPAROSCOPIA","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","ABDOME, PAREDE E CAVIDADE","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
"HERNIORRAFIA INGUINAL NO RN OU LACTENTE","","","","","Hospitalar com Ocupação","Hospitalar sem Ocupação","Referência","","","ABDOME, PAREDE E CAVIDADE","SISTEMA DIGESTIVO E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
